user_id,platform,impressions,clicks,conversions,spend,gender,age
user_001,Facebook,918,26,4,403.57,F,39
user_002,Google,788,42,7,171.35,F,40
user_003,Facebook,878,25,3,198.75,M,19
user_004,Facebook,730,18,3,247.96,F,44
user_005,Facebook,1517,33,4,590.48,F,19
user_006,Google,540,21,3,112.63,M,43
user_007,Facebook,1551,47,8,444.53,F,34
user_008,Facebook,634,24,4,160.06,M,50
user_009,Facebook,700,18,2,266.21,F,26
user_010,Google,1279,56,9,328.65,F,46
user_011,Facebook,1429,51,9,580.91,F,43
user_012,Facebook,1556,38,6,634.42,M,52
user_013,Facebook,1571,67,9,615.38,M,42
user_014,Facebook,1002,23,2,406.93,F,41
user_015,Google,906,48,6,335.9,M,30
user_016,Facebook,1304,49,5,325.49,M,24
user_017,Google,598,26,4,195.45,M,53
user_018,Google,1183,68,9,339.04,M,37
user_019,Google,1225,72,7,449.48,M,18
user_020,Facebook,1460,35,5,725.12,M,25
user_021,Google,1112,48,7,456.43,F,33
user_022,Facebook,1985,84,15,988.21,F,31
user_023,Google,1142,41,5,289.89,M,29
user_024,Google,1528,52,9,608.67,F,40
user_025,Google,1741,92,10,435.13,F,32
user_026,Google,1002,31,3,349.07,F,45
user_027,Google,1266,62,12,593.19,F,51
user_028,Google,897,42,7,255.3,M,19
user_029,Google,1370,70,9,523.36,F,49
user_030,Google,1294,64,6,438.59,F,40
user_031,Facebook,892,40,5,444.25,M,39
user_032,Facebook,706,22,2,329.66,M,42
user_033,Google,1538,50,8,339.66,F,39
user_034,Google,1391,41,4,618.38,F,39
user_035,Google,1984,107,14,615.54,F,23
user_036,Facebook,1363,61,9,554.98,F,32
user_037,Google,1242,61,8,609.65,F,54
user_038,Facebook,1764,54,8,735.36,F,50
user_039,Facebook,1063,31,5,239.46,M,25
user_040,Facebook,1520,61,7,673.27,F,22
user_041,Facebook,595,13,2,147.35,F,21
user_042,Facebook,984,48,8,411.73,M,23
user_043,Google,1930,84,9,622.05,M,49
user_044,Google,730,37,6,146.71,M,47
